site,station,season,n_years,trend,p_value,tau,sen_slope
KAN,U,DJF,16,no trend,0.4440436396628866,-0.15,-0.10954761904761906
KAN,U,JJA,16,no trend,0.26035056965599135,-0.21666666666666667,-0.09284188034188043
KAN,L,DJF,17,no trend,0.6504631229507134,-0.08823529411764706,-0.07596688311688315
KAN,L,JJA,16,no trend,0.05287159261498764,-0.36666666666666664,-0.07717388888888893
NUK,U,DJF,15,no trend,0.9211586502250249,0.02857142857142857,0.012566666666666393
NUK,U,JJA,16,no trend,0.344417522979072,-0.18333333333333332,-0.03948194444444446
NUK,L,DJF,13,no trend,0.6693340144640527,0.10256410256410256,0.09652185185185178
NUK,L,JJA,15,no trend,0.37305311625145254,-0.18095238095238095,-0.04279047619047623
QAS,U,DJF,16,no trend,0.4440436396628866,-0.15,-0.12441250000000004
QAS,U,JJA,14,no trend,0.7425568219265775,0.07692307692307693,0.014929629629629662
QAS,L,DJF,17,no trend,0.9671423309063722,-0.014705882352941176,-0.012839583333333238
QAS,L,JJA,16,no trend,0.16280544974369304,0.26666666666666666,0.041033766233766256
THU,U,DJF,14,no trend,0.4434214028640828,0.16483516483516483,0.12879166666666553
THU,U,JJA,15,no trend,0.09245959511086133,-0.3333333333333333,-0.12972499999999995
THU,L,DJF,10,no trend,0.28313087066234655,0.28888888888888886,0.3831638888888893
THU,L,JJA,14,no trend,0.6614159170078631,-0.0989010989010989,-0.0857592592592593
SCO,U,DJF,14,no trend,0.1546297519658153,-0.2967032967032967,-0.11888333333333367
SCO,U,JJA,16,no trend,0.7526419827681854,0.06666666666666667,0.011317592592592591
SCO,L,DJF,17,no trend,1.0,0.0,0.00034285714285735877
SCO,L,JJA,16,increasing,0.010279478485212934,0.48333333333333334,0.09073291666666666
